Sample_Index,Predicted_RUL,Alert_Level
0,41.75936,WARNING
1,40.282295,WARNING
2,39.05614,WARNING
3,39.425144,WARNING
4,38.4912,WARNING
5,37.90053,WARNING
6,37.27036,WARNING
7,36.314884,WARNING
8,34.912197,WARNING
9,31.890562,WARNING
10,29.40471,WARNING
11,26.706163,WARNING
12,25.323772,WARNING
13,22.944893,WARNING
14,20.55404,WARNING
15,16.990118,CRITICAL
16,14.825919,CRITICAL
17,13.561873,CRITICAL
18,13.091548,CRITICAL
19,12.66506,CRITICAL
20,12.17388,CRITICAL
21,12.024928,CRITICAL
22,11.404742,CRITICAL
23,10.904778,CRITICAL
24,10.651689,CRITICAL
25,10.947194,CRITICAL
26,11.257524,CRITICAL
27,11.602193,CRITICAL
240,49.879734,WARNING
246,49.169468,WARNING
247,48.263683,WARNING
248,46.466152,WARNING
249,44.87355,WARNING
250,43.98552,WARNING
251,42.781315,WARNING
252,43.86332,WARNING
253,44.45237,WARNING
254,43.965664,WARNING
255,44.017937,WARNING
256,46.021908,WARNING
257,45.871628,WARNING
258,42.282627,WARNING
259,40.986088,WARNING
260,37.07485,WARNING
261,34.399868,WARNING
262,31.492212,WARNING
263,27.50183,WARNING
264,25.050467,WARNING
265,20.415426,WARNING
266,14.109233,CRITICAL
267,8.421065,CRITICAL
268,8.648026,CRITICAL
269,11.346513,CRITICAL
270,13.752797,CRITICAL
271,14.928744,CRITICAL
272,15.98783,CRITICAL
273,15.628601,CRITICAL
274,16.38748,CRITICAL
275,16.898369,CRITICAL
276,15.2242,CRITICAL
277,13.428202,CRITICAL
278,12.764289,CRITICAL
279,11.560313,CRITICAL
280,9.674558,CRITICAL
281,7.8082314,CRITICAL
282,6.5563793,CRITICAL
283,6.2223873,CRITICAL
284,5.8789864,CRITICAL
285,5.8169985,CRITICAL
286,5.49732,CRITICAL
287,6.0294294,CRITICAL
288,5.708991,CRITICAL
289,5.2073274,CRITICAL
290,5.2920923,CRITICAL
464,48.993427,WARNING
465,46.602314,WARNING
466,39.754063,WARNING
467,38.260662,WARNING
468,36.67727,WARNING
469,32.192627,WARNING
470,30.712263,WARNING
471,30.723913,WARNING
472,31.567907,WARNING
473,33.485657,WARNING
474,32.850296,WARNING
475,31.190836,WARNING
476,30.826605,WARNING
477,31.43427,WARNING
478,32.50973,WARNING
479,34.422764,WARNING
480,33.980556,WARNING
481,33.16059,WARNING
482,32.40726,WARNING
483,29.257013,WARNING
484,28.234978,WARNING
485,28.472572,WARNING
486,27.585585,WARNING
487,24.462069,WARNING
488,22.169458,WARNING
489,23.225863,WARNING
490,22.832403,WARNING
491,21.283455,WARNING
492,19.700401,CRITICAL
493,19.038092,CRITICAL
494,21.539898,WARNING
495,19.265562,CRITICAL
496,20.054693,WARNING
497,18.361155,CRITICAL
498,15.815676,CRITICAL
499,13.593698,CRITICAL
500,14.737129,CRITICAL
501,16.553469,CRITICAL
502,13.19714,CRITICAL
503,13.032819,CRITICAL
504,10.844148,CRITICAL
505,9.020783,CRITICAL
506,8.038115,CRITICAL
507,9.5970335,CRITICAL
508,10.698038,CRITICAL
509,10.076446,CRITICAL
510,8.612779,CRITICAL
511,6.7712893,CRITICAL
512,6.474596,CRITICAL
513,6.012925,CRITICAL
514,5.100376,CRITICAL
515,4.8399386,CRITICAL
516,4.9521255,CRITICAL
517,4.608953,CRITICAL
518,4.3941545,CRITICAL
519,3.2535093,CRITICAL
520,2.9418325,CRITICAL
521,2.1886084,CRITICAL
522,2.2847235,CRITICAL
523,2.3400714,CRITICAL
524,2.3085706,CRITICAL
525,2.0500536,CRITICAL
526,1.9728453,CRITICAL
527,2.166208,CRITICAL
624,46.599598,WARNING
625,22.727198,WARNING
626,21.609081,WARNING
646,48.490093,WARNING
647,43.206425,WARNING
648,40.247448,WARNING
649,38.266468,WARNING
650,35.142395,WARNING
651,33.39062,WARNING
652,32.985077,WARNING
653,31.892612,WARNING
654,35.891346,WARNING
655,37.795177,WARNING
656,33.72176,WARNING
657,31.944555,WARNING
658,29.041788,WARNING
659,25.82888,WARNING
660,21.648123,WARNING
661,19.406008,CRITICAL
662,19.504719,CRITICAL
663,19.700472,CRITICAL
664,19.781218,CRITICAL
665,18.986792,CRITICAL
666,16.827562,CRITICAL
667,15.449141,CRITICAL
668,15.019265,CRITICAL
669,15.453377,CRITICAL
670,12.733432,CRITICAL
671,11.63234,CRITICAL
672,10.730113,CRITICAL
673,8.468346,CRITICAL
674,7.112829,CRITICAL
675,7.1080456,CRITICAL
676,6.799323,CRITICAL
677,5.3037596,CRITICAL
678,5.943486,CRITICAL
679,5.6947117,CRITICAL
680,5.0674267,CRITICAL
681,4.754611,CRITICAL
682,4.2539887,CRITICAL
683,4.1146936,CRITICAL
684,3.4843833,CRITICAL
685,2.980202,CRITICAL
840,19.089592,CRITICAL
879,47.742798,WARNING
880,46.499638,WARNING
881,48.78371,WARNING
882,47.735214,WARNING
883,46.20981,WARNING
884,46.625607,WARNING
885,47.636124,WARNING
886,45.654285,WARNING
887,44.42776,WARNING
888,45.419506,WARNING
889,41.989315,WARNING
890,43.708035,WARNING
891,40.95665,WARNING
892,36.49154,WARNING
893,32.90128,WARNING
894,28.411474,WARNING
895,27.96025,WARNING
896,25.84293,WARNING
897,26.017,WARNING
898,25.1534,WARNING
899,25.612558,WARNING
900,24.820387,WARNING
901,23.550695,WARNING
902,20.632708,WARNING
903,19.008173,CRITICAL
904,17.591791,CRITICAL
905,16.368856,CRITICAL
906,14.621285,CRITICAL
907,14.201201,CRITICAL
908,14.68192,CRITICAL
909,15.185651,CRITICAL
910,14.315238,CRITICAL
911,13.582065,CRITICAL
912,13.97342,CRITICAL
913,12.985374,CRITICAL
914,12.382796,CRITICAL
915,11.310985,CRITICAL
916,11.046787,CRITICAL
917,9.206169,CRITICAL
918,9.003353,CRITICAL
919,7.5397453,CRITICAL
920,5.740665,CRITICAL
921,6.1909094,CRITICAL
922,5.5007744,CRITICAL
923,4.9404926,CRITICAL
924,4.537506,CRITICAL
925,4.6228747,CRITICAL
926,4.215467,CRITICAL
927,4.882023,CRITICAL
928,3.7872195,CRITICAL
929,4.061101,CRITICAL
930,3.702707,CRITICAL
931,3.667549,CRITICAL
932,3.174988,CRITICAL
933,2.872771,CRITICAL
1017,44.97674,WARNING
1018,7.722277,CRITICAL
1019,37.311146,WARNING
1036,48.972816,WARNING
1037,46.83139,WARNING
1038,46.604366,WARNING
1039,44.217655,WARNING
1040,41.558125,WARNING
1041,43.634136,WARNING
1042,45.51443,WARNING
1043,43.8394,WARNING
1044,48.034687,WARNING
1045,47.49213,WARNING
1046,44.633667,WARNING
1047,44.384056,WARNING
1048,40.42809,WARNING
1049,37.684475,WARNING
1050,34.100163,WARNING
1051,31.077755,WARNING
1052,29.278902,WARNING
1053,25.536219,WARNING
1054,23.810959,WARNING
1055,24.378653,WARNING
1056,22.631828,WARNING
1057,21.032984,WARNING
1058,19.13644,CRITICAL
1059,17.900093,CRITICAL
1060,17.981382,CRITICAL
1061,16.078289,CRITICAL
1062,13.323897,CRITICAL
1063,12.258946,CRITICAL
1064,11.7403755,CRITICAL
1065,11.0630045,CRITICAL
1066,10.482653,CRITICAL
1067,10.358626,CRITICAL
1068,9.620709,CRITICAL
1069,9.1018305,CRITICAL
1070,9.63285,CRITICAL
1071,8.043201,CRITICAL
1072,7.7220135,CRITICAL
1073,8.333293,CRITICAL
1074,7.1243944,CRITICAL
1075,5.8841243,CRITICAL
1076,4.665163,CRITICAL
1077,4.7260933,CRITICAL
1078,4.0086417,CRITICAL
1079,3.1513178,CRITICAL
1080,3.0236251,CRITICAL
1081,2.5503483,CRITICAL
1215,49.33904,WARNING
1216,47.807163,WARNING
1217,44.768826,WARNING
1218,37.251926,WARNING
1219,31.81283,WARNING
1220,27.054853,WARNING
1221,21.39959,WARNING
1222,11.83961,CRITICAL
1223,9.404755,CRITICAL
1224,18.670633,CRITICAL
1225,24.988092,WARNING
1226,25.8411,WARNING
1227,27.872519,WARNING
1228,30.460396,WARNING
1229,31.548306,WARNING
1230,31.235256,WARNING
1231,31.469961,WARNING
1232,35.74474,WARNING
1233,34.607777,WARNING
1234,31.451794,WARNING
1235,32.49861,WARNING
1236,30.682478,WARNING
1237,30.506124,WARNING
1238,28.67608,WARNING
1239,26.843431,WARNING
1240,25.470987,WARNING
1241,23.927889,WARNING
1242,22.0583,WARNING
1243,20.656813,WARNING
1244,19.153582,CRITICAL
1245,19.033304,CRITICAL
1246,17.338827,CRITICAL
1247,15.047986,CRITICAL
1248,14.270556,CRITICAL
1249,13.353199,CRITICAL
1250,11.991075,CRITICAL
1251,11.795572,CRITICAL
1252,10.342217,CRITICAL
1253,9.559806,CRITICAL
1254,9.467397,CRITICAL
1255,8.20294,CRITICAL
1256,7.285742,CRITICAL
1257,6.7383537,CRITICAL
1258,6.7306776,CRITICAL
1259,6.2110186,CRITICAL
1260,6.246109,CRITICAL
1261,5.571906,CRITICAL
1262,5.3269215,CRITICAL
1263,4.856227,CRITICAL
1264,4.7716746,CRITICAL
1408,45.93283,WARNING
1409,44.888996,WARNING
1410,40.454044,WARNING
1411,36.613888,WARNING
1412,35.678757,WARNING
1413,29.124218,WARNING
1414,22.901772,WARNING
1415,15.761367,CRITICAL
1416,9.308835,CRITICAL
1417,8.5328245,CRITICAL
1418,14.854256,CRITICAL
1419,19.979628,CRITICAL
1420,22.864931,WARNING
1421,25.13518,WARNING
1422,25.524597,WARNING
1423,27.536821,WARNING
1424,27.662659,WARNING
1425,27.628075,WARNING
1426,26.103119,WARNING
1427,26.607264,WARNING
1428,28.34279,WARNING
1429,27.17436,WARNING
1430,23.812391,WARNING
1431,20.39451,WARNING
1432,18.257055,CRITICAL
1433,15.307124,CRITICAL
1434,13.4102125,CRITICAL
1435,12.026747,CRITICAL
1436,11.907756,CRITICAL
1437,9.807052,CRITICAL
1438,8.136753,CRITICAL
1439,7.0264354,CRITICAL
1440,6.831292,CRITICAL
1441,6.341365,CRITICAL
1442,4.9599576,CRITICAL
1443,5.539277,CRITICAL
1444,5.5296106,CRITICAL
1445,4.8913145,CRITICAL
1446,4.6660805,CRITICAL
1447,4.307828,CRITICAL
1448,3.8979127,CRITICAL
1449,3.849469,CRITICAL
1450,3.688991,CRITICAL
1451,3.381932,CRITICAL
1550,48.465885,WARNING
1551,45.250546,WARNING
1552,42.475018,WARNING
1553,41.193478,WARNING
1554,36.965324,WARNING
1555,33.815544,WARNING
1556,26.914267,WARNING
1557,22.367052,WARNING
1558,15.034095,CRITICAL
1559,8.874743,CRITICAL
1560,6.8386993,CRITICAL
1561,9.344558,CRITICAL
1562,13.316171,CRITICAL
1563,14.274933,CRITICAL
1564,13.591271,CRITICAL
1565,12.243655,CRITICAL
1566,13.573319,CRITICAL
1567,13.473756,CRITICAL
1568,13.055486,CRITICAL
1569,11.424195,CRITICAL
1570,12.216123,CRITICAL
1571,10.702734,CRITICAL
1572,9.1331415,CRITICAL
1573,7.7197685,CRITICAL
1574,6.467742,CRITICAL
1575,4.610711,CRITICAL
1641,47.038593,WARNING
1642,46.439026,WARNING
1643,46.424046,WARNING
1644,45.231907,WARNING
1645,43.17896,WARNING
1646,41.688023,WARNING
1647,40.81702,WARNING
1648,40.78871,WARNING
1649,42.381157,WARNING
1650,38.761654,WARNING
1651,37.11864,WARNING
1652,37.245716,WARNING
1653,34.866367,WARNING
1654,34.47676,WARNING
1655,32.724483,WARNING
1656,32.52965,WARNING
1657,29.803377,WARNING
1658,27.245184,WARNING
1659,23.671862,WARNING
1660,21.525038,WARNING
1661,22.677622,WARNING
1662,21.934412,WARNING
1663,22.250513,WARNING
1664,21.701273,WARNING
1665,20.2236,WARNING
1666,19.094812,CRITICAL
1667,17.708834,CRITICAL
1668,15.009232,CRITICAL
1669,14.603097,CRITICAL
1670,12.941428,CRITICAL
1671,12.6536665,CRITICAL
1672,10.097557,CRITICAL
1673,8.6668825,CRITICAL
1674,6.9512687,CRITICAL
1675,6.892083,CRITICAL
1676,6.8371415,CRITICAL
1677,7.3299007,CRITICAL
1678,6.3113527,CRITICAL
1679,5.8718853,CRITICAL
1680,4.5523167,CRITICAL
1899,47.583614,WARNING
1900,44.46401,WARNING
1901,39.265816,WARNING
1902,37.80131,WARNING
1903,42.3896,WARNING
1904,43.95516,WARNING
1905,40.474934,WARNING
1906,38.568317,WARNING
1907,41.10177,WARNING
1908,42.508877,WARNING
1909,42.41344,WARNING
1910,37.34409,WARNING
1911,25.61537,WARNING
1912,14.658868,CRITICAL
1913,7.7940364,CRITICAL
1914,18.965443,CRITICAL
1915,29.62325,WARNING
1916,38.238346,WARNING
1917,42.476337,WARNING
1918,46.724,WARNING
1919,47.61716,WARNING
1920,46.31873,WARNING
1921,44.31592,WARNING
1922,41.45683,WARNING
1923,41.472065,WARNING
1924,42.37871,WARNING
1925,40.36902,WARNING
1926,39.15328,WARNING
1927,39.798077,WARNING
1928,35.62871,WARNING
1929,32.71009,WARNING
1930,32.563137,WARNING
1931,33.232647,WARNING
1932,34.93902,WARNING
1933,37.698406,WARNING
1934,36.691837,WARNING
1935,35.527843,WARNING
1936,33.52254,WARNING
1937,32.31737,WARNING
1938,28.681787,WARNING
1939,25.55145,WARNING
1940,24.754477,WARNING
1941,22.193481,WARNING
1942,20.78861,WARNING
1943,22.505566,WARNING
1944,22.618778,WARNING
1945,23.086725,WARNING
1946,23.58605,WARNING
1947,23.59197,WARNING
1948,22.092825,WARNING
1949,22.398645,WARNING
1950,20.80258,WARNING
1951,19.440928,CRITICAL
1952,20.48033,WARNING
1953,20.287811,WARNING
1954,19.233418,CRITICAL
1955,17.966272,CRITICAL
1956,18.529364,CRITICAL
1957,17.090008,CRITICAL
1958,13.928218,CRITICAL
1959,13.808663,CRITICAL
1960,13.809772,CRITICAL
1961,13.353772,CRITICAL
1962,12.241622,CRITICAL
1963,11.663056,CRITICAL
1964,11.873975,CRITICAL
1965,11.674813,CRITICAL
1966,13.560865,CRITICAL
1967,12.943164,CRITICAL
1968,12.012475,CRITICAL
1969,10.63672,CRITICAL
1970,9.364394,CRITICAL
1971,7.384903,CRITICAL
1972,6.16311,CRITICAL
1973,6.046833,CRITICAL
1974,6.0614038,CRITICAL
1975,5.8673763,CRITICAL
1976,5.967248,CRITICAL
1977,6.1965227,CRITICAL
1978,6.7007937,CRITICAL
1979,6.008271,CRITICAL
1980,5.50967,CRITICAL
1981,5.9992533,CRITICAL
1982,5.720399,CRITICAL
1983,5.205118,CRITICAL
1984,5.032687,CRITICAL
1985,4.634944,CRITICAL
1986,4.376498,CRITICAL
1987,4.1272984,CRITICAL
1988,3.9759853,CRITICAL
1989,3.7334192,CRITICAL
1990,3.6218336,CRITICAL
1991,3.3898075,CRITICAL
2093,48.673428,WARNING
2094,43.659508,WARNING
2095,36.31534,WARNING
2096,28.762037,WARNING
2097,16.997465,CRITICAL
2098,8.228292,CRITICAL
2099,7.9682083,CRITICAL
2100,13.244962,CRITICAL
2101,19.86393,CRITICAL
2102,22.302122,WARNING
2103,23.993185,WARNING
